type,qid,question,gold,prediction,error,confidence,weak_answer,retrieval_empty,num_chunks_retrieved,retrieval_time,generation_time,judge_method,judge_raw,tp,fp,fn,precision,recall,f1,abstain
Single,1,Why did Adam remind Li Hua not to play guitar late at night?,a few neighbors have mentioned they're hearing guitar music late at night, Adam reminded Li Hua not to play guitar late at night because a few neighbors had mentioned they were hearing the music and it might have been disturbing them.,,,,,,,,llm,是,1.0,0.0,0.0,1.0,1.0,1.0,False
Single,2,What type of ambiance does YurikoYamamoto want for her studio's homepage?,more welcoming and engaging," Based on the provided context, Yuriko Yamamoto wants a more welcoming and engaging ambiance for her speech therapy studio's homepage.",,,,,,,,llm,是,1.0,0.0,0.0,1.0,1.0,1.0,False
Single,3,When did Li Hua invite Adam Smith to check the basement renovation progress?,20260223_19:00, Li Hua invited Adam Smith to check the basement renovation progress on 20260223_17:00.,,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Single,4,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk," The name of the café where Li Hua and YurikoYamamoto are meeting to discuss Yuriko's website is ""Central Perk"".",,,,,,,,fast,"fast_match(g0=central, p0=the)",1.0,0.0,0.0,1.0,1.0,1.0,False
Single,5,What is the essence of YurikoYamamoto Li Hua is helping with her homepage?,speech therapy," The essence of YurikoYamamoto and Li Hua's interaction is that Li Hua is helping YurikoYamamoto improve the homepage of her speech therapy studio, making it more welcoming and engaging.",,,,,,,,fast,"fast_match(g0=speech, p0=the)",1.0,0.0,0.0,1.0,1.0,1.0,False
Single,6,What type of instrument does Li Hua play in the basement?,guitar," Based on the provided context, it is not explicitly stated that Li Hua plays any specific instrument in the basement. However, it is mentioned that she plays the guitar and that Wolfgang can bring his drums to jam together with her. Therefore, we cannot definitively say what type of instrument Li Hua plays in the basement.",,,,,,,,fast,"fast_match(g0=guitar, p0=based)",1.0,0.0,0.0,1.0,1.0,1.0,False
Single,7,When did Adam Smith inform Li Hua about potential issues with the pipes in the basement?,20260301_13:00," Adam Smith informed Li Hua about potential issues with the pipes in the basement on March 1, 2026.",,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Single,8,When did Li Hua inform Adam Smith that the rent was transferred?,20260301_10:00, Li Hua informed Adam Smith that the rent was transferred on 20260127_20:30.,,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Single,9,When is the music concert that Wolfgang invites Li Hua to?,20260307_18:00, The music concert that Wolfgang invites Li Hua to is on March 7th at 6 PM.,,,,,,,,llm,是,1.0,0.0,0.0,1.0,1.0,1.0,False
Single,10,What dish does Li Hua agree to bring to the neighborhood potluck dinner?,Homemade pasta salad, Li Hua agrees to bring homemade pasta salad to the neighborhood potluck dinner.,,,,,,,,fast,"fast_match(g0=homemade, p0=li)",1.0,0.0,0.0,1.0,1.0,1.0,False
Single,11,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto, Li Hua is meeting with Yuriko Yamamoto to discuss homepage design updates.,,,,,,,,fast,"fast_match(g0=yuriko, p0=li)",1.0,0.0,0.0,1.0,1.0,1.0,False
Single,12,What new feature does Yuriko Yamamoto consider adding to her studio's homepage?,A blog section," Based on the provided context, there is no information about Yuriko considering adding a new feature to her studio's homepage. The discussions revolve around making the homepage more welcoming and engaging, but no specific new features are mentioned.",,,,,,,,abstain,,0.0,0.0,1.0,0.0,0.0,0.0,True
Single,13,What time is the power outage in the neighborhood?,2 PM to 3 PM," I don't know. The provided context does not specify the exact time for the power outage in the neighborhood on August 12, as it only mentions that there will be an AC installation at 6 PM.",,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Single,14,What suggestions does Li Hua give for promoting the new scheduling feature?,Showcase it on social media platforms and include a short tutorial and send out a newsletter to clients," Li Hua suggests that the new scheduling feature will make scheduling super convenient for clients as they'll be able to see available times right away, which should help in easing the process of scheduling. However, Li Hua did not explicitly provide suggestions for promoting the new feature in the given context.",,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Single,15,Who invites Li Hua to join the community bake sale?,Adam Smith, AdamSmith invites Li Hua to join the community bake sale.,,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Single,16,What day and time is the community bake sale taking place?,Sunday at 3 PM, The community bake sale is taking place on Sunday at 3 PM.,,,,,,,,llm,是,1.0,0.0,0.0,1.0,1.0,1.0,False
Single,17,When does Li Hua request a delivery from Hailey Johnson?,Tuesday," The conversation where Li Hua requests a delivery from Hailey Johnson is on March 14, 2026 at 17:00. Li Hua expresses interest in trying out Hailey's doorstep delivery service for fresh milk and bread.",,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
