type,qid,question,gold,prediction,error,confidence,weak_answer,retrieval_empty,num_chunks_retrieved,retrieval_time,generation_time,judge_method,judge_raw,tp,fp,fn,precision,recall,f1,abstain
Multi,1,Did Adam Smith send a message to Li Hua about the upcoming building maintenance schedule before the administrators announced a temporary change in the construction schedule due to weather conditions?,Yes," Based on the provided context, there is no information indicating that Adam Smith sent a message to Li Hua about the upcoming building maintenance schedule after the administrators announced a temporary change in the construction schedule due to weather conditions. Therefore, I don't know if he did or not.",,,,,,,,abstain,,0.0,0.0,1.0,0.0,0.0,0.0,True
Multi,2,"Did Wolfgang ask Li Hua about watching ""Star Wars: A New Hope"" after he asked Li Hua about going to see ""Overwatch 3""?",Yes," No, Wolfgang did not ask Li Hua about watching ""Star Wars: A New Hope"" after he asked her about going to see ""Overwatch 3"". The conversation about Star Wars happened on October 9th, while the conversation about Overwatch 3 happened on January 21st.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,3,Did Li Hua agree to go out for dinner after Wolfgang first asked him if he wanted to go out for dinner?,Yes," Yes, Li Hua agreed to go out for dinner.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,4,Did Li Hua send a message to Jennifer thanking her for the new training schedule before he requested a change in his training schedule for Thursday?,Yes," No, Li Hua did not send a message to Jennifer thanking her for the new training schedule before requesting a change in his training schedule for Thursday. The conversation provided does not show any such exchange.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,5,Did Li Hua ask Jennifer for advice on how to prevent muscle soreness after an intense workout session before he told her that he feels soreness in his arm muscles after the workout this week?,Yes," No, Li Hua did not ask Jennifer for advice on how to prevent muscle soreness after an intense workout session before he told her that he feels soreness in his arm muscles after the workout this week.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,6,Did Li Hua send a message to Jennifer asking for her opinion on protein supplements before he consulted her about his daily protein powder consumption?,Yes," No, Li Hua did not send a message to Jennifer asking for her opinion on protein supplements before consulting her about his daily protein powder consumption. The conversation between them only discussed the new line of high-protein breads and Li Hua's interest in trying them.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,7,"Did Yuriko ask Li Hua for help with her studio's homepage before she booked a seat at the ""Central Perk"" cafe?",Yes," Based on the provided context, it is not explicitly stated that Yuriko asked Li Hua for help with her studio's homepage before booking a seat at Central Perk. However, their conversation about meeting up to discuss ideas for her homepage suggests that they were planning to do so after their initial meeting at Central Perk. Therefore, I don't know if Yuriko specifically asked Li Hua for help with her studio's homepage before booking the seat at Central Perk.",,,,,,,,fast,"fast_match(g0=yes, p0=based)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,8,Did Li Hua discuss his progress with the fitness plan before he shared a blog post about his recent fitness achievements?,Yes," Based on the provided context, there is no information that suggests Li Hua discussed his progress with the fitness plan before sharing a blog post about his recent fitness achievements.",,,,,,,,abstain,,0.0,0.0,1.0,0.0,0.0,0.0,True
Multi,9,Did Li Hua send a message to Jennifer asking if he can turn the Thursday class to Friday after he requested a change in his training schedule for Thursday?,Yes," Yes, based on the provided context, Li Hua did send a message to Jennifer asking if he can switch his class from Thursday to Friday. This request was made on 20260211_19:00.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,10,Did Li Hua ask Yuriko to play music together before Wolfgang proposed to pause playing musical instruments?,Yes," No, Li Hua did not ask Yuriko to play music together before Wolfgang proposed to pause playing musical instruments. The conversation about a jam session occurred after Wolfgang's suggestion to pause their discussion.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,11,"Did Wolfgang Schulz recommend the band learns ""Viva la Vida"" by Coldplay after he and Li Hua discussed what song to play this Sunday?",Yes, Yes,,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,12,Did Wolfgang's promotion announcement occur before he invited Li Hua for dinner on 20260430?,Yes," Yes, Wolfgang's promotion announcement occurred before he invited Li Hua for dinner on 20260430. The conversation about the dinner took place on 20260428, while the promotion was announced earlier on the same day.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,13,Did Turalyon announce the construction updates and feedback from residents after Illidan Stormrage complained about the construction noise?,Yes," No, Turalyon did not announce the construction updates and feedback from residents after Illidan Stormrage complained about the construction noise. The conversation between TirionFordring, ArthasMenethil, LiHua, and MuradinBronzebeard discussed ways to manage noise during construction, but there was no mention of Turalyon announcing updates or feedback from residents after Illidan's complaint. The conversation about new noise reduction measures occurred later between AdamSmith and MalfurionStormrage.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,14,Did Hailey announce the new line of high-protein breads before inviting Li Hua to the special bakery event?,Yes," Yes, Hailey announced the new line of high-protein breads before inviting Li Hua to the special bakery event.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,15,Did Chae tell Li Hua that taking a warm shower before sleeping can improve the sleep quality before sharing the neuroscience article with her?,No," No, Chae did not tell Li Hua that taking a warm shower before sleeping can improve the sleep quality before sharing the neuroscience article with her. The conversation about the warm shower happened separately from the discussion about the neuroscience article.",,,,,,,,fast,"fast_match(g0=no, p0=no)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,16,Did Li Hua ask Jennifer Moore for book recommendations on fitness nutrition before she announced the special guest speaker at the gym?,No," No, Li Hua did not ask Jennifer Moore for book recommendations on fitness nutrition before she announced the special guest speaker at the gym. The conversation about book recommendations occurred later, on 20260831_19:00.",,,,,,,,fast,"fast_match(g0=no, p0=no)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,17,Did Jennifer remind Li Hua about proper nutrition and hydration before Jake shared his tips for staying hydrated during the match?,Yes," No, Jennifer did not remind Li Hua about proper nutrition and hydration before Jake shared his tips for staying hydrated during the match. The conversation between Jennifer and Li Hua was about a talk on nutrition for athletes that would take place in the future, while Jake's reminder was related to a specific upcoming match.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,18,Did the group members talk about their favorite characters in the TV series Game of Thrones after Emily started a vote on the most hateable character?,Yes," No, the group members did not talk about their favorite characters in the TV series Game of Thrones after Emily started a vote on the most hateable character. The conversation remained focused on the most hateable characters.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,19,Did Jennifer remind Li Hua to consume enough protein after the workout before she shared tips with the group members on common mistakes to avoid after an intense workout?,Yes," No, Jennifer did not remind Li Hua to consume enough protein after the workout before sharing tips with the group members on common mistakes to avoid after an intense workout. The conversation about protein consumption occurred in a separate context.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,20,Did Li Hua ask Thane about his opinion on The Last of Us before he asked about Sekiro: Shadows Die Twice?,No," No, Li Hua did not ask Thane about his opinion on The Last of Us before he asked about Sekiro: Shadows Die Twice.",,,,,,,,fast,"fast_match(g0=no, p0=no)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,21,Did Jake Watson and Li Hua discuss the classic matches between FC Barcelona and FC Bayern Munich before the group members discussed the classic matches between FC Barcelona and Real Madrid?,Yes," No, Jake Watson and Li Hua did not discuss the classic matches between FC Barcelona and FC Bayern Munich before the group members discussed the classic matches between FC Barcelona and Real Madrid.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,22,Did the group members debate about the best football manager in the Premier League history after they debated if Pep Guardiola is the greatest soccer manager in football history?,Yes," Yes, based on the provided context, it appears that the group members did debate about the best football manager in the Premier League history after initially discussing whether Pep Guardiola is the greatest soccer manager in football history.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,23,Did the discussion about Jaime Lannister's character occur after the discussion about Cersei Lannister's character?,Yes," Yes, the discussion about Jaime Lannister's character occurred after the discussion about Cersei Lannister's character.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,24,Did Wolfgang ask Li Hua if she wants to have pizza for dinner after work today before he wondered if she wanted to have Sichuan hot pot for dinner tonight?,No," No, Wolfgang did not ask Li Hua if she wants to have pizza for dinner after work today before he wondered if they should have Sichuan hot pot for dinner tonight. The conversation about pizza happened on October 15th, while the conversation about hot pot was on September 30th.",,,,,,,,fast,"fast_match(g0=no, p0=no)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,25,Did Jennifer challenge Li Hua to do 60 pull-ups in a training session after she challenged him to do 100 pushups?,Yes," No, Jennifer did not challenge Li Hua to do 60 pull-ups in a training session after she challenged him to do 100 pushups. The conversation about the 60 pull-up challenge occurred on a different date and time.",,,,,,,,fast,"fast_match(g0=yes, p0=no)",0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,26,Did Jake share common knowledge about offside in soccer with Li Hua before he passed practical techniques to Li Hua on how to avoid offside for a forward?,Yes," Yes, Jake shared common knowledge about offside in soccer with Li Hua before passing practical techniques to Li Hua on how to avoid offside for a forward.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,27,Did Wolfgang arrive in Hong Kong after he informed Li Hua about his upcoming trip?,Yes, Yes,,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,28,"What time does Li Hua watch the movie ""Overwatch 3""?",20260122," The context does not provide information on when Li Hua watches the movie ""Overwatch 3"".",,,,,,,,llm,是,1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,29,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang," Li Hua goes to watch the movie ""Overwatch 3"" with WolfgangSchulz.",,,,,,,,fast,"fast_match(g0=wolfgang, p0=li)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,30,Has Wolfgang ever been to Hong Kong?,Yes, Yes,,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,31,Who knows about Wolfgang going to Hong Kong?,LiHua & Chae & Yuriko," LiHua, YurikoYamamoto, and everyone (implied in the context).",,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,32,Who wished Li Hua a happy Lunar New Year?,Adam Smith & Jennifer Moore & Wolfgang Schulz," WolfgangSchulz, AdamSmith",,,,,,,,llm,是,1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,33,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson, HaileyJohnson introduced the bread delivery service and recommended Alice for the delivery.,,,,,,,,fast,"fast_match(g0=haileyjohnson, p0=haileyjohnson)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,34,What is the opportunity that makes Wolfgang and Yuriko acquaitances?,LiHua introduce them to each other by saying that they can play music together every Sunday," The opportunity that makes Wolfgang and Yuriko acquaintances is LiHua introducing them to each other, as stated in the context on March 19, 2026 at 16:00.",,,,,,,,llm,是,1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,35,What was the content of the first-ever delivery from Hailey to LiHua and what was LiHua's opinion about it?,a fresh sourdough loaf and a bottle of milk and LiHua praises Hailey's bread and milk," The context does not provide information about the content of the first-ever delivery from Hailey to LiHua. However, in the provided conversations, LiHua mentions that they love the bread deliveries and find them amazing and fresh, as usual. So, it can be inferred that the first-ever delivery likely included bread.",,,,,,,,llm,是,1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,36,What opportunity did LiHua create for Chae to meet Wolfgang and Yuriko?,LiHua introduced Chae to Wolfgang and Yuriko during the band's gathering on Sunday evening," LiHua created an opportunity for Chae to meet Wolfgang by introducing them on March 19, 2026.",,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,37,What special offerings did Hailey have for her backery shop in the month of May?,a special Mother's Day bakery promotion & a special summer promotion on ice cream & a free baking class at the end of May & banana durian cheesecake," In the month of May, Hailey had a special summer promotion on ice cream and pastries, and a special Mother's Day promotion.",,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,38,What feedbacks does Hailey ask from LiHua in July?,feedback on the bread delivery service & customer feedback on a new line of artisanal donuts, Hailey asks for feedback about the bread delivery that occurred in July.,,,,,,,,llm,否,0.0,1.0,0.0,0.0,0.0,0.0,False
Multi,39,How long does it take in total from LiHua planning on getting the air-conditioner to the air-conditioner been installed?,about 27 days," Based on the provided context, it appears that the air-conditioner installation was scheduled for Wednesday next week after Adam Smith's message on 20260809_12:00. However, the exact date is not specified in the context. Therefore, I don't have enough information to determine the total time from when Li Hua planned on getting the air-conditioner to the installation.",,,,,,,,abstain,,0.0,0.0,1.0,0.0,0.0,0.0,True
Multi,40,Did it take more than 3 weeks from LiHua planning on getting the air-conditioner to the air-conditioner been actually installed?,Yes," Based on the provided context, it took more than 3 weeks from when LiHua first inquired about adding an air-conditioner (on July 16) to when Adam Smith informed her that the installation was set for next week (on August 9). However, the exact number of days is not specified, so we cannot definitively say if it took exactly 23 days or more than 23 days.",,,,,,,,abstain,,0.0,0.0,1.0,0.0,0.0,0.0,True
Multi,41,Did it take more than a week from Adam asking LiHua about the ideal installation date to Adam reminding LiHua about the contractor team installing air-conditioner at 18:00?,Yes," Yes, it took more than a week from Adam asking LiHua about the ideal installation date to Adam reminding LiHua about the contractor team installing air-conditioner at 18:00. The conversation where Adam asked LiHua about the ideal installation date was on August 9th, and the reminder was on August 12th.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,42,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang," LiHua wants to invite WolfgangSchulz to the photography exhibition, and he goes with him during August.",,,,,,,,fast,"fast_match(g0=wolfgang, p0=lihua)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,43,Is the time interval between LiHua asking JakeWatson to help him with dribbling skills and Li Hua asking the group about classic must-watch UCL matches more than 2 days (restrict your search within August)?,Yes," Based on the provided context, there is no information given about the exact number of days between LiHua asking JakeWatson for help with dribbling skills and LiHua asking the group about classic must-watch UCL matches. However, since the conversation with JakeWatson happened on August 19th, and the conversation with Giselle was about practicing soccer ""this week"", it is likely that less than 2 days have passed between the two conversations. Therefore, I don't know if the time interval is more than 2 days (restricting the search within August).",,,,,,,,abstain,,0.0,0.0,1.0,0.0,0.0,0.0,True
Multi,44,Is the time interval more than 3 days between LiHua asking Adam to help him install a curtain on the basement window and Adam asking LiHua to measure the size of the window?,Yes," Yes, the time interval is more than 3 days between LiHua asking Adam to help him install a curtain on the basement window and Adam asking LiHua to measure the size of the window. The first interaction was on September 21st, and the second interaction was on September 28th, which is a difference of 7 days.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,45,Is the time interval more than 7 days between Adam asking LiHua to measure the size of the window and Adam informing Li Hua that he has booked the curtain of the right size?,Yes," Yes, based on the provided context, the time interval between Adam asking LiHua to measure the size of the window (20260928_10:00) and Adam informing Li Hua that he has booked the curtain of the right size (20261007_12:00) is more than 7 days.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,46,Is the time interval more than 3 days between LiHua confirming that he has received the curtain and Adam asking LiHua if the curtain is all good?,Yes," Yes, the time interval is more than 3 days between LiHua confirming that he has received the curtain and Adam asking LiHua if the curtain is all good. The confirmation was on October 12th, and the question was asked on October 19th.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
Multi,47,Is the time interval more than 3 days between LiHua first asking Adam if he can buy a small fridge for the basement and Adam asking LiHua about the size of the fridge?,Yes," Yes, the time interval is more than 3 days between LiHua first asking Adam if he can buy a small fridge for the basement and Adam asking LiHua about the size of the fridge. The first conversation was on November 10th, and the second conversation was on November 16th, which is a difference of 6 days.",,,,,,,,fast,"fast_match(g0=yes, p0=yes)",1.0,0.0,0.0,1.0,1.0,1.0,False
